!sil 1.0	sil
--can-sego/canseco- 1.0	s eh g ow
thief 1.0	th iy f
thieves 1.0	th iy v z
thieving 1.0	th iy v ih ng
thighs 1.0	th ay z
thin 1.0	th ih n
thin-gs- 1.0	th ih n
thin-k- 1.0	th ih ng
thing 1.0	th ih ng
thing's 1.0	th ih ng z
thing-s- 1.0	th ih ng
things 1.0	th ih ng z
thingy 1.0	th ih ng iy
think 1.0	th ih ng k
think'll 1.0	th ih ng k ax l
think's 1.0	th ih ng k s
think-ing- 1.0	th ih ng k
thinki-ng- 1.0	th ih ng k ih
thinking 1.0	th ih ng k ih ng
thinkings 1.0	th ih ng k ih ng z
thinks 1.0	th ih ng k s
thinner 1.0	th ih n er
thinness 1.0	th ih n n ih s
thir-d- 1.0	th er
thir-teen- 1.0	th er
thir-ties- 1.0	th er
thir-ty- 1.0	th er
third 1.0	th er d
thirdly 1.0	t er d l iy
thirds 1.0	th er d z
thirst 1.0	th er s t
thirsty 1.0	th er s t iy
thirteen 1.0	th er t iy n
thirteenth 1.0	th er t iy n th
thirties 1.0	th er t iy z
thirtieth 1.0	th er t iy ih th
thirty 1.0	th er t iy
thirtysomething 1.0	th er t iy s ah m th ih ng
this 1.0	dh ih s
this'd 1.0	dh ih s ih d
this'll 1.0	dh ih s ax l
thistles 1.0	th ih s ax l z
tho-se- 1.0	dh ow
thomas 1.0	t aa m ax s
thomases 1.0	t aa m ax s ih z
thompson 1.0	t aa m p s ih n
thompson's 1.0	t aa m p s ih n z
thor-oughly- 1.0	th er r
thoreau's 1.0	th ax r ow z
thorn 1.0	th ow r n
thornburg 1.0	th ow r n b er g
thorne 1.0	th ow r n
thorns 1.0	th ow r n z
thorough 1.0	th er r ow
thoroughbred 1.0	th er r ax b r eh d
thoroughbreds 1.0	th er r ax b r eh d z
thoroughfare 1.0	th er r ax f ey r
thoroughly 1.0	th er r ax l iy
thoroughly 1.0	th er r l iy
thoroughness 1.0	th er r ax n ih s
those 1.0	dh ow z
thou 1.0	th aw
thou-sand- 1.0	th aw
thou-sands- 1.0	th aw
though 1.0	dh ow
though-t- 1.0	th ao
thought 1.0	th ao t
thoughtful 1.0	th ao t f ax l
thoughts 1.0	th ao t s
thousand 1.0	th aw z ih n d
thousand's 1.0	th aw zh ih n d z
thousands 1.0	th aw z ih n d z
thousands 1.0	th aw z ih n z
thousandth 1.0	th aw z ih n d th
thousandths 1.0	th aw z ih n d th s
thr-ee- 1.0	th r
thr-ough- 1.0	th r
thr-ow- 1.0	th r
thrash 1.0	th r ae sh
thrashed 1.0	th r ae sh t
thrashes 1.0	th r ae sh ih z
thread 1.0	th r eh d
threads 1.0	th r eh d z
threat 1.0	th r eh t
threaten 1.0	th r eh t en
threatened 1.0	th r eh t en d
threatening 1.0	th r eh t ih n ih ng
threateningly 1.0	th r eh t ih n ih ng l iy
threatens 1.0	th r eh t en z
threats 1.0	th r eh t s
three 1.0	th r iy
three's 1.0	th r iy z
three-dayers 1.0	th r iy d ey er s
three-quarter 1.0	th r iy k w ow r t er
three-quarters 1.0	th r iy k w ow r t er z
threes 1.0	th r iy z
threesome 1.0	th r iy s ax m
threshold 1.0	th r eh sh hh ow l d
threw 1.0	th r uw
thrice 1.0	th r ay s
thrift 1.0	th r ih f t
thrifty 1.0	th r ih f t iy
thrill 1.0	th r ih l
thrilled 1.0	th r ih l d
thriller 1.0	th r ih l er
thrillers 1.0	th r ih l er z
thrilling 1.0	th r ih l ih ng
thrills 1.0	th r ih l z
thrive 1.0	th r ay v
thrives 1.0	th r ay v z
thriving 1.0	th r ay v ih ng
throat 1.0	th r ow t
throat's 1.0	th r ow t s
throats 1.0	th r ow t s
throb 1.0	th r aa b
throbbing 1.0	th r aa b ih ng
throes 1.0	th r ow z
through 1.0	th r uw
throughout 1.0	th r uw aw t
throughs 1.0	th r uw z
throw 1.0	th r ow
throw-ing- 1.0	th r ow
throw-s- 1.0	th r ow
throwaway 1.0	th r ow ax w ey
throwback 1.0	th r ow b ae k
throwed 1.0	th r ow d
throwing 1.0	th r ow ih ng
thrown 1.0	th r ow n
throws 1.0	th r ow z
thrust 1.0	th r ah s t
thug 1.0	th ah g
thugs 1.0	th ah g z
thumb 1.0	th ah m
thumb's 1.0	th ah m z
thumbing 1.0	th ah m ih ng
thumbnail 1.0	th ah m n ey l
thumbs 1.0	th ah m z
thump 1.0	th ah m p
thumper 1.0	th ah m p er
thunder 1.0	th ah n d er
thunderbird 1.0	th ah n d er b er d
thunderbirds 1.0	th ah n d er b er d z
thunders 1.0	th ah n d er z
thunderstorm 1.0	th ah n d er s t ow r m
thunderstormed 1.0	th ah n d er s t ow r m d
thunderstorms 1.0	th ah n d er s t ow r m z
thurber 1.0	th er b er
thuringiansis 1.0	th uw r ih n jh iy aa n s ih s
thurow's 1.0	th ax r ow z
thurs-day- 1.0	th er z
thursd-ay- 1.0	th er z d
thursday 1.0	th er z d ey
thursday's 1.0	th er z d ey z
thursdays 1.0	th er z d ey z
thus 1.0	dh ah s
thwart 1.0	th w ow r t
thwarted 1.0	th w ow r t ih d
thyme 1.0	t ay m
ti'er 1.0	t iy ay er
ti-ckets- 1.0	t ih
ti-me- 1.0	t ay
ti-mes- 1.0	t ay
ti-ming- 1.0	t ay
ti-red- 1.0	t ay
ti-res- 1.0	t ay
tia's 1.0	t iy ax z
tiacref 1.0	t iy ax k r eh f
tiana 1.0	t iy aa n ax
tiananmen 1.0	t iy aa n ax m eh n
tibbar 1.0	t ih b aa r
tibby 1.0	t ih b iy
tic 1.0	t ih k
tick 1.0	t ih k
tick-ets- 1.0	t ih k
ticked 1.0	t ih k t
ticker 1.0	t ih k er
ticket 1.0	t ih k ih t
ticketed 1.0	t ih k ih t ih d
tickets 1.0	t ih k ih t s
ticking 1.0	t ih k ih ng
tickle 1.0	t ih k ax l
tickled 1.0	t ih k ax l d
ticks 1.0	t ih k s
tidbit 1.0	t ih d b ih t
tidbits 1.0	t ih d b ih t s
tide 1.0	t ay d
tides 1.0	t ay d z
tidings 1.0	t ay d ih ng z
tie 1.0	t ay
tie-d- 1.0	t ay
tie-dyed 1.0	t ay d ay d
tied 1.0	t ay d
tieish 1.0	t ay ih sh
tier 1.0	t iy ay er
tier 1.0	t iy r
tier's 1.0	t iy ay er z
tiered 1.0	t iy r d
tiers 1.0	t iy ay er z
tiers 1.0	t iy r z
ties 1.0	t ay z
tiff 1.0	t ih f
tiff-any- 1.0	t ih f
tiffany 1.0	t ih f ax n iy
tiffany's 1.0	t ih f ax n iy z
tiger 1.0	t ay g er
tigers 1.0	t ay g er z
tigh-ter- 1.0	t ay
tight 1.0	t ay t
tighten 1.0	t ay t en
tightened 1.0	t ay t en d
tightening 1.0	t ay t ih n ih ng
tighter 1.0	t ay t er
tightly 1.0	t ay t l iy
tights 1.0	t ay t s
tigon 1.0	t ay g aa n
til 1.0	t ih l
tile 1.0	t ay l
tiles 1.0	t ay l z
tiling 1.0	t ay l ih ng
till 1.0	t ih l
tillable 1.0	t ih l ax b ax l
tilled 1.0	t ih l d
tiller 1.0	t ih l er
tilling 1.0	t ih l ih ng
tilt 1.0	t ih l t
tim 1.0	t ih m
timber 1.0	t ih m b er
timbuktu 1.0	t ih m b ax k t uw
time 1.0	t ay m
time's 1.0	t ay m z
time-s- 1.0	t ay m
timed 1.0	t ay m d
timely 1.0	t ay m l iy
timer 1.0	t ay m er
timers 1.0	t ay m er z
times 1.0	t ay m z
timid 1.0	t ih m ih d
timing 1.0	t ay m ih ng
timothy 1.0	t ih m ax th iy
tin 1.0	t ih n
tin-y- 1.0	t ay n
tina 1.0	t iy n ax
tinge 1.0	t ih n jh
tingling 1.0	t ih ng g ax l ih ng
tiniest 1.0	t ay n iy ih s t
tinker 1.0	t ih ng k er
tinkerer 1.0	t ih ng k ax r er
tinkering 1.0	t ih ng k ax r ih ng
tinman 1.0	t ih n m ae n
tinny 1.0	t ih n iy
tinsel 1.0	t ih n s ax l
tinted 1.0	t ih n t ih d
tints 1.0	t ih n t s
tiny 1.0	t ay n iy
tip 1.0	t ih p
tipped 1.0	t ih p t
tippers 1.0	t ih p er z
tipping 1.0	t ih p ih ng
tips 1.0	t ih p s
tire 1.0	t ay r
tire-s- 1.0	t ay r
tired 1.0	t ay r d
tireder 1.0	t ay r d er
tires 1.0	t ay r z
tiring 1.0	t ay r ih ng
tissue 1.0	t ih s y uw
tit 1.0	t ih t
tithe 1.0	t ay dh
tithing 1.0	t ay dh ih ng
title 1.0	t ay t el
titles 1.0	t ay t el z
tizzy 1.0	t ih z iy
tn-t- 1.0	t iy eh n
to 1.0	t ax
to've 1.0	t uw v
to-day's- 1.0	t ax
to-day- 1.0	t ax
to-gether- 1.0	t ax
to-matoes- 1.0	t ax
to-night- 1.0	t ax
to-p- 1.0	t aa
to-pic- 1.0	t aa
to-tal- 1.0	t ow
to-tally- 1.0	t ow
to-ward- 1.0	t
to-wn- 1.0	t aw
toast 1.0	t ow s t
toasted 1.0	t ow s t ih d
toaster 1.0	t ow s t er
toasts 1.0	t ow s t s
toasty 1.0	t ow s t iy
tobacco 1.0	t ax b ae k ow
tobias 1.0	t ax b ay ax s
tobogganing 1.0	t ax b aa g ax n ih ng
toboggans 1.0	t ax b aa g ax n z
toby 1.0	t ow b iy
tod-ay- 1.0	t ax d
today 1.0	t ax d ey
today's 1.0	t ax d ey z
todd 1.0	t aa d
toddler 1.0	t aa d l er
toddlers 1.0	t aa d l er z
toddling 1.0	t aa d ax l ih ng
toe 1.0	t ow
toehold 1.0	t ow hh ow l d
toes 1.0	t ow z
toffee 1.0	t ao f iy
tofu 1.0	t ow f uw
tog-ether- 1.0	t ax g
toge-ther- 1.0	t ax g eh
togeth-er- 1.0	t ax g eh dh
together 1.0	t ax g eh dh er
togethers 1.0	t ax g eh dh er z
toggle 1.0	t aa g ax l
toil 1.0	t oy l
toilet 1.0	t oy l ih t
toilets 1.0	t oy l ih t s
token 1.0	t ow k ih n
tokens 1.0	t ow k ih n z
tokyo 1.0	t ow k iy ow
tol-d- 1.0	t ow l
tol-erant- 1.0	t aa l
told 1.0	t ow l d
tole 1.0	t ow l
toledo 1.0	t ax l iy d ow
tolerable 1.0	t aa l ax r ax b ax l
tolerance 1.0	t aa l ax r ih n s
tolerances 1.0	t aa l ax r ih n s ih z
tolerant 1.0	t aa l ax r ih n t
tolerate 1.0	t aa l ax r ey t
tolerated 1.0	t aa l ax r ey t ih d
tolerates 1.0	t aa l ax r ey t s
tolerating 1.0	t aa l ax r ey t ih ng
tolkien 1.0	t ow l k ih n
toll 1.0	t ow l
tollbooth 1.0	t ow l b uw th
tolls 1.0	t ow l z
tollway 1.0	t ow l w ey
toluene 1.0	t ow l uw iy n
tom 1.0	t aa m
tom's 1.0	t aa m z
toma-toes- 1.0	t ax m aa
tomato 1.0	t ax m aa t ow
tomatoes 1.0	t ax m aa t ow z
tombstone 1.0	t uw m s t ow n
tomcats 1.0	t aa m k ae t s
tomczak 1.0	t aa m ch ae k
tommy 1.0	t aa m iy
tomo-rrow- 1.0	t ax m aa
tomorr-ow- 1.0	t ax m aa r
tomorrow 1.0	t ax m aa r ow
tomorrow's 1.0	t ax m aa r ow z
ton 1.0	t ah n
tone 1.0	t ow n
toned 1.0	t ow n d
tones 1.0	t ow n z
tongs 1.0	t ao ng z
tongue 1.0	t ah ng
tonic 1.0	t aa n ih k
tonight 1.0	t ax n ay t
tonight's 1.0	t ax n ay t s
toning 1.0	t ow n ih ng
tonkin 1.0	t aa ng k ih n
tonnage 1.0	t ah n ih jh
tons 1.0	t ah n z
tony 1.0	t ow n iy
tonya 1.0	t aa n y ax
too 1.0	t uw
too-k- 1.0	t uh
too-th- 1.0	t uw
took 1.0	t uh k
tooken 1.0	t uh k ax n
tool 1.0	t uw l
tooling 1.0	t uw l ih ng
toolroom 1.0	t uw l r uw m
tools 1.0	t uw l z
toot 1.0	t uw t
tooth 1.0	t uw th
toothbrush 1.0	t uw th b r ah sh
toothpick 1.0	t uw th p ih k
toothpicks 1.0	t uw th p ih k s
toots 1.0	t uw t s
top 1.0	t aa p
top-az- 1.0	t ow p
top-heavy 1.0	t aa p hh eh v iy
top-ic- 1.0	t aa p
topaz 1.0	t ow p ae z
topazes 1.0	t ow p ae z ih z
topeka 1.0	t ax p iy k ax
topic 1.0	t aa p ih k
topic's 1.0	t aa p ih k s
topical 1.0	t aa p ih k ax l
topics 1.0	t aa p ih k s
topography 1.0	t ax p aa g r ax f iy
topped 1.0	t aa p t
toppers 1.0	t aa p er z
topping 1.0	t aa p ih ng
toppings 1.0	t aa p ih ng z
toppling 1.0	t aa p ax l ih ng
tops 1.0	t aa p s
topsoil 1.0	t aa p s oy l
topsy 1.0	t aa p s iy
topsy-turvy 1.0	t aa p s iy t er v iy
tor-toise- 1.0	t ow r
tore 1.0	t ow r
torito's 1.0	t ax r iy t ow z
torn 1.0	t ow r n
torn-adoes- 1.0	t er n
tornado 1.0	t er n ey d ow
tornadoes 1.0	t er n ey d ow z
tornados 1.0	t er n ey d ow z
toronto 1.0	t ax r aa n t ow
toronto's 1.0	t ax r aa n t ow z
torpedo 1.0	t ow r p iy d ow
torpedoed 1.0	t ow r p iy d ow d
torque 1.0	t ow r k
torrential 1.0	t ax r eh n sh ax l
torrents 1.0	t ow r ih n t s
tort 1.0	t ow r t
tort-ure- 1.0	t ow r ch
tortilla 1.0	t ow r t iy ax
tortillas 1.0	t ow r t iy ax z
tortoise 1.0	t ow r t ih s
tortola 1.0	t ow r t ow l ax
tortolla 1.0	t ow r t ow l ax z
torture 1.0	t ow r ch er
tortured 1.0	t ow r ch er d
torturistic 1.0	t ow r ch ax r ih s t ih k
toss 1.0	t ao s
tossed 1.0	t ao s t
tossing 1.0	t ao s ih ng
tot 1.0	t aa t
tot-al- 1.0	t ow t
tot-ally- 1.0	t ow t
total 1.0	t ow t ax l
totaled 1.0	t ow t ax l d
totaling 1.0	t ow t ax l ih ng
totalitarian 1.0	t ow t ae l ih t eh r iy ih n
totality 1.0	t ow t ae l ih t iy
totally 1.0	t ow t ax l iy
totals 1.0	t ow t ax l z
tote 1.0	t ow t
totem 1.0	t ow t ax m
toting 1.0	t ow t ih ng
tou-ch- 1.0	t ah
tou-gh- 1.0	t ah
touch 1.0	t ah ch
touchdown 1.0	t ah ch d aw n
touchdowns 1.0	t ah ch d aw n z
touche 1.0	t uw sh ey
touched 1.0	t ah ch t
touches 1.0	t ah ch ih z
touching 1.0	t ah ch ih ng
touchtone 1.0	t ah ch t ow n
touchy 1.0	t ah ch iy
touchy-feely 1.0	t ah ch iy f iy l iy
tough 1.0	t ah f
toughen 1.0	t ah f ax n
tougher 1.0	t ah f er
toughest 1.0	t ah f ih s t
toundar 1.0	t ow n d ax r
tour 1.0	t uw r
toured 1.0	t uw r d
touring 1.0	t uw r ih ng
tourism 1.0	t uw r ih z ax m
tourist 1.0	t uw r ih s t
touristing 1.0	t uw r ih s t ih ng
tourists 1.0	t uw r ih s t s
touristy 1.0	t uw r ih s t iy
tournament 1.0	t er n ax m ih n t
tournament's 1.0	t er n ax m ih n t s
tournaments 1.0	t er n ax m ih n t s
tours 1.0	t uw r z
touted 1.0	t aw t ih d
touting 1.0	t aw t ih ng
tow 1.0	t ow
tow-ard- 1.0	t ax w
tow-n- 1.0	t aw
towar-ds- 1.0	t ax w ow r
toward 1.0	t ax w ow r d
toward 1.0	t w ow r d
towards 1.0	t ax w ow r d z
towards 1.0	t w ow r d z
towed 1.0	t ow d
towel 1.0	t aw l
toweling 1.0	t aw l ih ng
towels 1.0	t aw l z
tower 1.0	t aw er
towered 1.0	t aw er d
towering 1.0	t aw er ih ng
towers 1.0	t aw er z
towing 1.0	t ow ih ng
town 1.0	t aw n
town'd 1.0	t aw n d
town's 1.0	t aw n z
towncar 1.0	t aw n k aa r
towners 1.0	t aw n er z
townhouse 1.0	t aw n hh aw s
townhouses 1.0	t aw n hh aw s ih z
towns 1.0	t aw n z
townsend 1.0	t aw n z ih n d
township 1.0	t aw n sh ih p
tows 1.0	t ow z
toxic 1.0	t aa k s ih k
toxicity 1.0	t aa k s ih s ih t iy
toxicologist 1.0	t aa k s ih k aa l ax jh ih s t
toxicology 1.0	t aa k s ih k aa l ax jh iy
toxics 1.0	t aa k s ih k s
toxin 1.0	t aa k s ih n
toxins 1.0	t aa k s ih n z
toy 1.0	t oy
toying 1.0	t oy ih ng
toyo-ta- 1.0	t oy ow
toyota 1.0	t oy ow t ax
toyota's 1.0	t oy ow t ax z
toyotas 1.0	t oy ow t ax z
toys 1.0	t oy z
tr-ade- 1.0	t r
tr-ain- 1.0	t r
tr-aining- 1.0	t r
tr-anscript- 1.0	t r
tr-anslations- 1.0	t r
tr-ash- 1.0	t r
tr-ashmore- 1.0	t r
tr-avel- 1.0	t r
tr-aveled- 1.0	t r
tr-eadmill- 1.0	t r
tr-eated- 1.0	t r
tr-ee- 1.0	t r
tr-ees- 1.0	t r
tr-emble- 1.0	t r
tr-ial- 1.0	t r
tr-ied- 1.0	t r
tr-ouble- 1.0	t r
tr-ue- 1.0	t r
tr-y- 1.0	t r
tr-ying- 1.0	t r
tra-ck- 1.0	t r ae
tra-de- 1.0	t r ey
tra-ditional- 1.0	t r ax
tra-nsfusion- 1.0	t r ae
tra-sh- 1.0	t r ae
tra-vel- 1.0	t r ae
tra-veled- 1.0	t r ae
tra-vis- 1.0	t r ae
trace 1.0	t r ey s
traceable 1.0	t r ey s ax b ax l
traced 1.0	t r ey s t
tracer 1.0	t r ey s er
tracers 1.0	t r ey s er z
tracing 1.0	t r ey s ih ng
track 1.0	t r ae k
tracked 1.0	t r ae k t
tracker 1.0	t r ae k er
tracking 1.0	t r ae k ih ng
tracks 1.0	t r ae k s
tract 1.0	t r ae k t
tractable 1.0	t r ae k t ax b ax l
traction 1.0	t r ae k sh ih n
tractor 1.0	t r ae k t er
tractors 1.0	t r ae k t er z
tracts 1.0	t r ae k s
tracy 1.0	t r ey s iy
tracy'd 1.0	t r ey s iy d
trad-ing- 1.0	t r ey d
trade 1.0	t r ey d
trade-in 1.0	t r ey d ih n
trade-off 1.0	t r ey d ao f
trade-offs 1.0	t r ey d aa f s
traded 1.0	t r ey d ih d
trades 1.0	t r ey d z
trading 1.0	t r ey d ih ng
tradition 1.0	t r ax d ih sh ih n
traditional 1.0	t r ax d ih sh ih n ax l
traditionally 1.0	t r ax d ih sh ih n ax l iy
traditions 1.0	t r ax d ih sh ih n z
traffi-cking- 1.0	t r ae f ih
traffic 1.0	t r ae f ih k
traffic's 1.0	t r ae f
trafficking 1.0	t r ae f ih k ih ng
tragedies 1.0	t r ae jh ih d iy z
tragedy 1.0	t r ae jh ih d iy
tragic 1.0	t r ae jh ih k
trail 1.0	t r ey l
trailed 1.0	t r ey l d
trailer 1.0	t r ey l er
trailers 1.0	t r ey l er z
trailing 1.0	t r ey l ih ng
trails 1.0	t r ey l z
train 1.0	t r ey n
train-ing- 1.0	t r ey n
trainable 1.0	t r ey n ax b ax l
trained 1.0	t r ey n d
trainer 1.0	t r ey n er
trainers 1.0	t r ey n er z
training 1.0	t r ey n ih ng
trainings 1.0	t r ey n ih ng z
trains 1.0	t r ey n z
trait 1.0	t r ey t
traitorous 1.0	t r ey t ax r ih s
traits 1.0	t r ey t s
tramane 1.0	t r ax m ey n
tramp-oline- 1.0	t r ae m p
trampling 1.0	t r ae m p l ih ng
trampoline 1.0	t r ae m p ax l iy n
tran-splant- 1.0	t r ae n
trans 1.0	t r ae n z
trans-fer- 1.0	t r ae n s
trans-fusions- 1.0	t r ae n s
trans-late- 1.0	t r ae n s
transaction 1.0	t r ae n z ae k sh ih n
transactions 1.0	t r ae n z ae k sh ih n z
transam 1.0	t r ae n z ae m
transatlantic 1.0	t r ae n z ae t l ae n t ih k
transcend 1.0	t r ae n s eh n d
transcontinental 1.0	t r ae n s k aa n t ih n eh n t ax l
transcribe 1.0	t r ae n s k r ay b
transcribers 1.0	t r ae n s k r ay b er z
transcribes 1.0	t r ae n s k r ay b z
transcribing 1.0	t r ae n s k r ay b ih ng
transcript 1.0	t r ae n s k r ih p t
transcripts 1.0	t r ae n s k r ih p t s
transducers 1.0	t r ae n z d uw s er z
transfer 1.0	t r ae n s f er
transfered 1.0	t r ae n s f er d
transferred 1.0	t r ae n s f er d
transferring 1.0	t r ae n s f er r ih ng
transfers 1.0	t r ae n s f er z
transform 1.0	t r ae n s f ow r m
transformation 1.0	t r ae n s f er m ey sh ih n
transformed 1.0	t r ae n s f ow r m d
transformers 1.0	t r ae n s f ow r m er z
transforms 1.0	t r ae n s f ow r m z
transfusion 1.0	t r ae n s f y uw zh ih n
transfusions 1.0	t r ae n s f y uw zh ih n z
transgressions 1.0	t r ae n z g r eh sh ih n z
transgressor 1.0	t r ae n z g r eh s er
transient 1.0	t r ae n z iy ih n t
transients 1.0	t r ae n z iy ih n t s
transistor 1.0	t r ae n z ih s t er
transistors 1.0	t r ae n z ih s t er z
transit 1.0	t r ae n s ih t
transition 1.0	t r ae n z ih sh ih n
transitional 1.0	t r ae n z ih sh ih n ax l
transitioning 1.0	t r ae n z ih sh ih n ih ng
translate 1.0	t r ae n s l ey t
translated 1.0	t r ae n s l ey t ih d
translates 1.0	t r ae n s l ey t s
translating 1.0	t r ae n s l ey t ih ng
translation 1.0	t r ae n s l ey sh ih n
translations 1.0	t r ae n s l ey sh ih n z
translator 1.0	t r ae n s l ey t er
translators 1.0	t r ae n s l ey t er z
transmission 1.0	t r ae n s m ih sh ih n
transmission's 1.0	t r ae n z m ih sh ih n z
transmissions 1.0	t r ae n s m ih sh ih n z
transmit 1.0	t r ae n s m ih t
transmits 1.0	t r ae n s m ih t s
transmitted 1.0	t r ae n s m ih t ih d
transmitter 1.0	t r ae n s m ih t er
transmitters 1.0	t r ae n s m ih t er z
transmitting 1.0	t r ae n s m ih t ih ng
transparencies 1.0	t r ae n s p ae r ih n s iy z
transparency 1.0	t r ae n s p ae r ih n s iy
transpired 1.0	t r ae n s p ay r d
transplant 1.0	t r ae n s p l ae n t
transplanted 1.0	t r ae n s p l ae n t ih d
transplanting 1.0	t r ae n s p l ae n t ih ng
transplants 1.0	t r ae n s p l ae n t s
transport 1.0	t r ae n s p ow r t
transportation 1.0	t r ae n s p er t ey sh ih n
transportations 1.0	t r ae n s p er t ey sh ih n z
transported 1.0	t r ae n s p ow r t ih d
transporting 1.0	t r ae n s p ow r t ih ng
transpose 1.0	t r ae n s p ow z
transverse 1.0	t r ae n z v er s
transvestite 1.0	t r ae n z v eh s t ay t
trap 1.0	t r ae p
trapeze 1.0	t r ax p iy z
trapped 1.0	t r ae p t
trappers 1.0	t r ae p er z
trapping 1.0	t r ae p ih ng
traps 1.0	t r ae p s
trash 1.0	t r ae sh
trashed 1.0	t r ae sh t
trashes 1.0	t r ae sh ih z
trashing 1.0	t r ae sh ih ng
trashmore 1.0	t r ae sh m ow r
trashy 1.0	t r ae sh iy
trauma 1.0	t r ao m ax
traumas 1.0	t r ao m ax z
traumatic 1.0	t r ao m ae t ih k
traumatized 1.0	t r ao m ax t ay z d
traumatizing 1.0	t r ao m ax t ay z ih ng
travel 1.0	t r ae v ax l
traveled 1.0	t r ae v ax l d
traveler 1.0	t r ae v ax l er
traveler's 1.0	t r ae v ax l er z
traveling 1.0	t r ae v ax l ih ng
travels 1.0	t r ae v ax l z
travesty 1.0	t r ae v ih s t iy
travis 1.0	t r ae v ih s
travolta 1.0	t r ax v ow l t ax
tray 1.0	t r ey
trays 1.0	t r ey z
treacherous 1.0	t r eh ch ax r ih s
tread 1.0	t r eh d
treadmill 1.0	t r eh d m ih l
treadmills 1.0	t r eh d m ih l z
treason 1.0	t r iy z ih n
treasure 1.0	t r eh zh er
treasurer 1.0	t r eh zh ax r er
treasures 1.0	t r eh zh er z
treasury 1.0	t r eh zh ax r iy
treat 1.0	t r iy t
treat-ment- 1.0	t r iy t
treated 1.0	t r iy t ih d
treaties 1.0	t r iy t iy z
treating 1.0	t r iy t ih ng
treatment 1.0	t r iy t m ih n t
treatments 1.0	t r iy t m ih n t s
treats 1.0	t r iy t s
treaty 1.0	t r iy t iy
treble 1.0	t r eh b ax l
tree 1.0	t r iy
tree's 1.0	t r iy z
treed 1.0	t r iy d
trees 1.0	t r iy z
trek 1.0	t r eh k
trek's 1.0	t r eh k s
trekkie 1.0	t r eh k iy
trekkies 1.0	t r eh k iy z
treks 1.0	t r eh k s
trembled 1.0	t r eh m b ax l d
trembling 1.0	t r eh m b l ih ng
tremen-dous- 1.0	t r ax m eh n
tremend-ous- 1.0	t r ax m eh n d
tremendous 1.0	t r ax m eh n d ih s
tremendously 1.0	t r ax m eh n d ih s l iy
tremors 1.0	t r eh m er z
trench 1.0	t r eh n ch
trencher 1.0	t r eh n ch er
trenches 1.0	t r eh n ch ih z
trend 1.0	t r eh n d
trend's 1.0	t r eh n d z
trends 1.0	t r eh n d z
trendsetters 1.0	t r eh n d s eh t er s
trendy 1.0	t r eh n d iy
trent 1.0	t r eh n t
trenton 1.0	t r eh n t ax n
trespass 1.0	t r eh s p ae s
trevino 1.0	t r ax v iy n ow
tri-al- 1.0	t r ay
tri-vial- 1.0	t r iy
triad 1.0	t r ay ae d
trial 1.0	t r ay l
trialed 1.0	t r ay l d
trials 1.0	t r ay l z
triangle 1.0	t r ay ae ng g ax l
triangular 1.0	t r ay ae ng g y ax l er
tribal 1.0	t r ay b ax l
tribe 1.0	t r ay b
tribes 1.0	t r ay b z
tribunal 1.0	t r ay b y uw n ax l
tribune 1.0	t r ih b y uw n
tribute 1.0	t r ih b y uw t
tricep 1.0	t r ay s eh p
trick 1.0	t r ih k
trick-or-treaters 1.0	t r ih k ow r t r iy t er z
tricked 1.0	t r ih k t
trickle 1.0	t r ih k ax l
trickled 1.0	t r ih k ax l d
trickles 1.0	t r ih k ax l z
trickling 1.0	t r ih k ax l ih ng
tricks 1.0	t r ih k s
tricky 1.0	t r ih k iy
tricycles 1.0	t r ay s ih k ax l z
trie-d- 1.0	t r ay
trie-s- 1.0	t r ay
tried 1.0	t r ay d
tries 1.0	t r ay z
trifle 1.0	t r ay f ax l
trifocals 1.0	t r ay f ow k ax l z
trigg-er- 1.0	t r ih g
trigger 1.0	t r ih g er
trigger-ed- 1.0	t r ih g er
triggered 1.0	t r ih g er d
triggering 1.0	t r ih g ax r ih ng
triggers 1.0	t r ih g er z
trigly-cerides- 1.0	t r ay g l ih
triglyceride's 1.0	t r ay g l ih s ax r ay d z
triglycerides 1.0	t r ay g l ih s ax r ay d z
trihold 1.0	t r ay hh ow l d
trilateral 1.0	t r ay l ae t ax r ax l
trilingual 1.0	t r ay l ih ng g w ax l
trillion 1.0	t r ih l y ih n
trillions 1.0	t r ih l iy ih n z
trilogy 1.0	t r ih l ax jh iy
trim 1.0	t r ih m
trimmed 1.0	t r ih m d
trimmer 1.0	t r ih m er
trimming 1.0	t r ih m ih ng
trimmings 1.0	t r ih m ih ng z
trims 1.0	t r ih m z
trin-ity- 1.0	t r ih n
trinidad 1.0	t r ih n ih d ae d
trinity 1.0	t r ih n ih t iy
trinket 1.0	t r ih ng k ih t
trio 1.0	t r iy ow
trip 1.0	t r ih p
triple 1.0	t r ih p ax l
tripled 1.0	t r ih p ax l d
triplets 1.0	t r ih p l ih t s
triplicate 1.0	t r ih p l ih k ih t
tripped 1.0	t r ih p t
tripping 1.0	t r ih p ih ng
trips 1.0	t r ih p s
triscuit 1.0	t r ih s k ih t
tristate 1.0	t r ay s t ey t
trite 1.0	t r ay t
triumph 1.0	t r ay ax m f
trivia 1.0	t r ih v iy ax
trivial 1.0	t r ih v iy ax l
trivialities 1.0	t r ih v iy ae l ih t iy z
trivialize 1.0	t r ih v y ax l ay z
trodden 1.0	t r aa d en
troll 1.0	t r ow l
