!SIL	SIL_S
--CAN-SEGO/CANSECO-	S_B EH_I G_I OW_E
REHEARSING	R_B IH_I HH_I ER_I S_I IH_I NG_E
REHI-RED-	R_B IY_I HH_I AY_E
REHIRE	R_B IY_I HH_I AY_I R_E
REHOBOTH	R_B IH_I OW_I B_I AA_I TH_E
REICH	R_B AY_I K_E
REICHER	R_B AY_I K_I ER_E
REID	R_B AY_I D_E #2
REIGN	R_B EY_I N_E #5
REIGNED	R_B EY_I N_I D_E #2
REIM-BURSE-	R_B IY_I IH_I M_E
REIMB-URSEMENT-	R_B IY_I IH_I M_I B_E
REIMBURSABLE	R_B IY_I IH_I M_I B_I ER_I S_I AX_I B_I AX_I L_E
REIMBURSE	R_B IY_I IH_I M_I B_I ER_I S_E
REIMBURSED	R_B IY_I IH_I M_I B_I ER_I S_I T_E
REIMBURSEMENT	R_B IY_I IH_I M_I B_I ER_I S_I M_I IH_I N_I T_E
REIMBURSES	R_B IY_I IH_I M_I B_I ER_I S_I IH_I Z_E
REIMBURSING	R_B IY_I IH_I M_I B_I ER_I S_I IH_I NG_E
REIN	R_B EY_I N_E #6
REINER	R_B AY_I N_I ER_E
REINFORCE	R_B IY_I IH_I N_I F_I OW_I R_I S_E
REINFORCED	R_B IY_I IH_I N_I F_I OW_I R_I S_I T_E
REINFORCEMENT	R_B IY_I IH_I N_I F_I OW_I R_I S_I M_I IH_I N_I T_E
REINING	R_B EY_I N_I IH_I NG_E #2
REINJURING	R_B IY_I IH_I N_I JH_I UH_I R_I IH_I NG_E
REINS	R_B EY_I N_I Z_E #5
REINSTALLED	R_B IY_I IH_I N_I S_I T_I AO_I L_I D_E
REINSTATE	R_B IY_I IH_I N_I S_I T_I EY_I T_E
REINSTATED	R_B IY_I IH_I N_I S_I T_I EY_I T_I IH_I D_E
REINVEST	R_B IY_I IH_I N_I V_I EH_I S_I T_E
REISSUED	R_B IY_I IH_I SH_I Y_I UW_I D_E
REITERATE	R_B IY_I IH_I T_I AX_I R_I EY_I T_E
REJECT	R_B IH_I JH_I EH_I K_I T_E
REJECTED	R_B IH_I JH_I EH_I K_I T_I IH_I D_E
REJECTING	R_B IH_I JH_I EH_I K_I T_I IH_I NG_E
REJECTION	R_B IH_I JH_I EH_I K_I SH_I IH_I N_E
REJOB	R_B IY_I JH_I AA_I B_E
REJOICE	R_B IH_I JH_I OY_I S_E
REJOINING	R_B IY_I JH_I OY_I N_I IH_I NG_E
REJUVENATES	R_B IH_I JH_I UW_I V_I IH_I N_I EY_I T_I S_E
REJUVENATING	R_B IH_I JH_I UW_I V_I IH_I N_I EY_I T_I IH_I NG_E
REJUVENATOR	R_B IH_I JH_I UW_I V_I IH_I N_I EY_I T_I ER_E
REL-ATIVES-	R_B EH_I L_E
RELA-TIVE-	R_B EH_I L_I AX_E #1
RELA-TIVELY-	R_B EH_I L_I AX_E #2
RELANDSCAPED	R_B IY_I L_I AE_I N_I D_I S_I K_I EY_I P_I T_E
RELATE	R_B IH_I L_I EY_I T_E
RELATED	R_B IH_I L_I EY_I T_I IH_I D_E
RELATES	R_B IH_I L_I EY_I T_I S_E
RELATI-VELY-	R_B EH_I L_I AX_I T_I IH_E
RELATING	R_B IH_I L_I EY_I T_I IH_I NG_E
RELATION	R_B IH_I L_I EY_I SH_I IH_I N_E
RELATIONAL	R_B IH_I L_I EY_I SH_I IH_I N_I AX_I L_E
RELATIONS	R_B IH_I L_I EY_I SH_I IH_I N_I Z_E
RELATIONSHIP	R_B IH_I L_I EY_I SH_I IH_I N_I SH_I IH_I P_E
RELATIONSHIPS	R_B IH_I L_I EY_I SH_I IH_I N_I SH_I IH_I P_I S_E
RELATIVE	R_B EH_I L_I AX_I T_I IH_I V_E
RELATIVELY	R_B EH_I L_I AX_I T_I IH_I V_I L_I IY_E #3
RELATIVES	R_B EH_I L_I AX_I T_I IH_I V_I Z_E #2
RELATIVITY	R_B EH_I L_I AX_I T_I IH_I V_I IH_I T_I IY_E
RELAX	R_B IH_I L_I AE_I K_I S_E
RELAXATION	R_B IH_I L_I AE_I K_I S_I EY_I SH_I IH_I N_E
RELAXED	R_B IH_I L_I AE_I K_I S_I T_E
RELAXING	R_B IH_I L_I AE_I K_I S_I IH_I NG_E #2
RELAY	R_B IY_I L_I EY_E
RELEARN	R_B IY_I L_I ER_I N_E
RELEARNING	R_B IY_I L_I ER_I N_I IH_I NG_E
RELEASE	R_B IH_I L_I IY_I S_E
RELEASED	R_B IH_I L_I IY_I S_I T_E #2
RELEASES	R_B IH_I L_I IY_I S_I IH_I Z_E
RELEASING	R_B IH_I L_I IY_I S_I IH_I NG_E
RELEGATED	R_B EH_I L_I AX_I G_I EY_I T_I IH_I D_E
RELENTLESS	R_B IH_I L_I EH_I N_I T_I L_I IH_I S_E
RELEVANCE	R_B EH_I L_I AX_I V_I AX_I N_I S_E
RELEVANT	R_B EH_I L_I AX_I V_I AX_I N_I T_E
RELI-ABLE-	R_B IH_I L_I AY_E #1
RELI-GION-	R_B IH_I L_I IH_E
RELIABI-LITY-	R_B IH_I L_I AY_I AX_I B_I IH_E
RELIABILITY	R_B IH_I L_I AY_I AX_I B_I IH_I L_I IH_I T_I IY_E
RELIABLE	R_B IH_I L_I AY_I AX_I B_I AX_I L_E
RELIABLY	R_B IH_I L_I AY_I AX_I B_I L_I IY_E
RELIANCE	R_B IH_I L_I AY_I IH_I N_I S_E
RELIANT	R_B IH_I L_I AY_I IH_I N_I T_E
RELICS	R_B EH_I L_I IH_I K_I S_E
RELIEF	R_B IH_I L_I IY_I F_E
RELIEVE	R_B IH_I L_I IY_I V_E
RELIEVED	R_B IH_I L_I IY_I V_I D_E
RELIEVER	R_B IH_I L_I IY_I V_I ER_E
RELIEVES	R_B IH_I L_I IY_I V_I Z_E
RELIEVING	R_B IH_I L_I IY_I V_I IH_I NG_E
RELIGION	R_B IH_I L_I IH_I JH_I IH_I N_E
RELIGIONS	R_B IH_I L_I IH_I JH_I IH_I N_I Z_E
RELIGIOUS	R_B IH_I L_I IH_I JH_I IH_I S_E
RELIGIOUSLY	R_B IH_I L_I IH_I JH_I IH_I S_I L_I IY_E
RELINQUISHED	R_B IH_I L_I IH_I NG_I K_I W_I IH_I SH_I T_E
RELISH	R_B EH_I L_I IH_I SH_E
RELISHING	R_B EH_I L_I IH_I SH_I IH_I NG_E
RELLENO	R_B IH_I L_I EH_I N_I OW_E
RELOCATE	R_B IY_I L_I OW_I K_I EY_I T_E
RELOCATED	R_B IY_I L_I OW_I K_I EY_I T_I IH_I D_E
RELOCATING	R_B IY_I L_I OW_I K_I EY_I T_I IH_I NG_E
RELUCTANT	R_B IH_I L_I AH_I K_I T_I IH_I N_I T_E
RELUCTANTLY	R_B IH_I L_I AH_I K_I T_I IH_I N_I T_I L_I IY_E
RELY	R_B IH_I L_I AY_E #2
RELYING	R_B IH_I L_I AY_I IH_I NG_E
REM	AA_B R_I IY_I EH_I M_E
REM-EMBER-	R_B IH_I M_E #1
REMAIN	R_B IH_I M_I EY_I N_E
REMAINDER	R_B IH_I M_I EY_I N_I D_I ER_E
REMAINED	R_B IH_I M_I EY_I N_I D_E
REMAINING	R_B IH_I M_I EY_I N_I IH_I NG_E #2
REMAINS	R_B IH_I M_I EY_I N_I Z_E
REMAKE	R_B IY_I M_I EY_I K_E #2
REMAKES	R_B IY_I M_I EY_I K_I S_E
REMAKING	R_B IY_I M_I EY_I K_I IH_I NG_E
REMARK	R_B IH_I M_I AA_I R_I K_E
REMARKABLE	R_B IH_I M_I AA_I R_I K_I AX_I B_I AX_I L_E
REMARKABLY	R_B IH_I M_I AA_I R_I K_I AX_I B_I L_I IY_E
REMARKED	R_B IH_I M_I AA_I R_I K_I T_E
REMARKS	R_B IH_I M_I AA_I R_I K_I S_E
REMARRIED	R_B IY_I M_I AE_I R_I IY_I D_E
REMARRYING	R_B IY_I M_I AE_I R_I IY_I IH_I NG_E
REME-MBER-	R_B IH_I M_I EH_E
REMEDIAL	R_B IH_I M_I IY_I D_I IY_I AX_I L_E
REMEDIATE	R_B IH_I M_I IY_I D_I IY_I EY_I T_E
REMEDIATION	R_B IH_I M_I IY_I D_I IY_I EY_I SH_I IH_I N_E
REMEM-BER-	R_B IH_I M_I EH_I M_E
REMEMB-ER-	R_B IH_I M_I EH_I M_I B_E
REMEMBER	R_B IH_I M_I EH_I M_I B_I ER_E #2
REMEMBERED	R_B IH_I M_I EH_I M_I B_I ER_I D_E #2
REMEMBERING	R_B IH_I M_I EH_I M_I B_I AX_I R_I IH_I NG_E
REMEMBERS	R_B IH_I M_I EH_I M_I B_I ER_I Z_E
REMEMBRANCE	R_B IH_I M_I EH_I M_I B_I R_I IH_I N_I S_E
REMIND	R_B IH_I M_I AY_I N_I D_E #2
REMINDED	R_B IH_I M_I AY_I N_I D_I IH_I D_E #2
REMINDER	R_B IH_I M_I AY_I N_I D_I ER_E
REMINDERS	R_B IH_I M_I AY_I N_I D_I ER_I Z_E
REMINDING	R_B IH_I M_I AY_I N_I D_I IH_I NG_E
REMINDS	R_B IH_I M_I AY_I N_I D_I Z_E
REMINISCE	R_B EH_I M_I IH_I N_I IH_I S_E
REMINISCENT	R_B EH_I M_I IH_I N_I IH_I S_I IH_I N_I T_E
REMINISCING	R_B EH_I M_I IH_I N_I IH_I S_I IH_I NG_E
REMISS	R_B IH_I M_I IH_I S_E
REMIXED	R_B IH_I M_I IH_I K_I S_I T_E
REMNANTS	R_B EH_I M_I N_I IH_I N_I T_I S_E
REMO-TELY-	R_B IH_I M_I OW_E
REMO-VES-	R_B IH_I M_I UW_E
REMODEL	R_B IY_I M_I AA_I D_I AX_I L_E
REMODELED	R_B IY_I M_I AA_I D_I AX_I L_I D_E
REMODELING	R_B IH_I M_I AA_I D_I AX_I L_I IH_I NG_E
REMOLDED	R_B IY_I M_I OW_I L_I D_I IH_I D_E
REMORSE	R_B IH_I M_I OW_I R_I S_E
REMOTE	R_B IH_I M_I OW_I T_E
REMOTELY	R_B IH_I M_I OW_I T_I L_I IY_E
REMOVAL	R_B IH_I M_I UW_I V_I AX_I L_E
REMOVE	R_B IH_I M_I UW_I V_E
REMOVED	R_B IH_I M_I UW_I V_I D_E
REMOVING	R_B IH_I M_I UW_I V_I IH_I NG_E
REN	R_B EH_I N_E
RENAISSANCE	R_B EH_I N_I IH_I S_I AA_I N_I S_E
RENAME	R_B IY_I N_I EY_I M_E
RENAMED	R_B IY_I N_I EY_I M_I D_E
RENAMING	R_B IY_I N_I EY_I M_I IH_I NG_E
RENDER	R_B EH_I N_I D_I ER_E
RENDERED	R_B EH_I N_I D_I ER_I D_E
RENDERING	R_B EH_I N_I D_I AX_I R_I IH_I NG_E
RENDITIONS	R_B EH_I N_I D_I IH_I SH_I IH_I N_I Z_E
RENE-GOTIATE-	R_B IY_I N_I IH_E
RENEGADE	R_B EH_I N_I AX_I G_I EY_I D_E
RENEGE	R_B IH_I N_I EH_I G_E
RENEGOTIATE	R_B IY_I N_I IH_I G_I OW_I SH_I IY_I EY_I T_E
RENEGOTIATION	R_B IY_I N_I AX_I G_I OW_I SH_I IY_I EY_I SH_I IH_I N_E
RENEW	R_B IH_I N_I UW_E
RENEWABLE	R_B IH_I N_I UW_I AX_I B_I AX_I L_E
RENEWAL	R_B IH_I N_I UW_I AX_I L_E
RENEWED	R_B IH_I N_I UW_I D_E
RENNER	R_B EH_I N_I ER_E
RENO	R_B EH_I N_I OW_E
RENO-VATION-	R_B EH_I N_I AX_E
RENOVATE	R_B EH_I N_I AX_I V_I EY_I T_E
RENOVATED	R_B EH_I N_I AX_I V_I EY_I T_I IH_I D_E
RENOVATING	R_B EH_I N_I AX_I V_I EY_I T_I IH_I NG_E
RENOVATION	R_B EH_I N_I AX_I V_I EY_I SH_I IH_I N_E
RENOVATIONS	R_B EH_I N_I AX_I V_I EY_I SH_I IH_I N_I Z_E
RENOVATIVE	R_B EH_I N_I AX_I V_I EY_I T_I IY_I V_E
RENOVATOR	R_B EH_I N_I AX_I V_I EY_I T_I ER_E
RENOWNED	R_B IH_I N_I AW_I N_I D_E
RENT	R_B EH_I N_I T_E #2
RENT-ED-	R_B EH_I N_I T_E #3
RENT-ING-	R_B EH_I N_I T_E #4
RENTAL	R_B EH_I N_I T_I AX_I L_E
RENTALS	R_B EH_I N_I T_I AX_I L_I Z_E
RENTED	R_B EH_I N_I T_I IH_I D_E
RENTER	R_B EH_I N_I T_I ER_E
RENTERS	R_B EH_I N_I T_I ER_I Z_E
RENTI-NG-	R_B EH_I N_I T_I IH_E
RENTING	R_B EH_I N_I T_I IH_I NG_E
RENTS	R_B EH_I N_I T_I S_E
RENUMERATION	R_B IH_I N_I UW_I M_I AX_I R_I EY_I SH_I IH_I N_E
REO	AA_B R_I IY_I OW_E
REOPENED	R_B IY_I OW_I P_I IH_I N_I D_E
REORGANIZATION	R_B IY_I OW_I R_I G_I AX_I N_I IH_I Z_I EY_I SH_I IH_I N_E
REORGANIZE	R_B IY_I OW_I R_I G_I AX_I N_I AY_I Z_E
REORGANIZING	R_B IY_I OW_I R_I G_I AX_I N_I AY_I Z_I IH_I NG_E
REP	R_B EH_I P_E
REP-AY-	R_B IY_I P_E #2
REP-LAY-	R_B IY_I P_E #3
REPACK	R_B IY_I P_I AE_I K_E
REPACKED	R_B IY_I P_I AE_I K_I T_E
REPAI-RED-	R_B IH_I P_I EY_E
REPAID	R_B IY_I P_I EY_I D_E
REPAINT	R_B IY_I P_I EY_I N_I T_E
REPAINTED	R_B IY_I P_I EY_I N_I T_I IH_I D_E
REPAINTING	R_B IY_I P_I EY_I N_I T_I IH_I NG_E #2
REPAIR	R_B IH_I P_I EY_I R_E #2
REPAIR'S	R_B IH_I P_I EY_I R_I Z_E #2
REPAIRABLE	R_B IH_I P_I EY_I R_I AX_I B_I AX_I L_E
REPAIRED	R_B IH_I P_I EY_I R_I D_E
REPAIRING	R_B IH_I P_I EY_I R_I IH_I NG_E
REPAIRMAN	R_B IH_I P_I EY_I R_I M_I AE_I N_E
REPAIRMEN	R_B IH_I P_I EY_I R_I M_I EH_I N_E
REPAIRS	R_B IH_I P_I EY_I R_I Z_E #3
REPALA	R_B IY_I P_I AE_I L_I AX_E
REPAPERED	R_B IY_I P_I EY_I P_I ER_I D_E
REPAY	R_B IY_I P_I EY_E
REPAYING	R_B IY_I P_I EY_I IH_I NG_E
REPAYMENT	R_B IY_I P_I EY_I M_I IH_I N_I T_E
REPEAL	R_B IH_I P_I IY_I L_E
REPEALED	R_B IH_I P_I IY_I L_I D_E
REPEALMENT	R_B IH_I P_I IY_I L_I M_I IH_I N_I T_E
REPEALS	R_B IH_I P_I IY_I L_I Z_E
REPEAT	R_B IH_I P_I IY_I T_E
REPEATABLE	R_B IH_I P_I IY_I T_I AX_I B_I AX_I L_E
REPEATED	R_B IH_I P_I IY_I T_I IH_I D_E
REPEATEDLY	R_B IH_I P_I IY_I T_I IH_I D_I L_I IY_E
REPEATER	R_B IH_I P_I IY_I T_I ER_E
REPEATERS	R_B IH_I P_I IY_I T_I ER_I Z_E
REPEATING	R_B IH_I P_I IY_I T_I IH_I NG_E
REPEATS	R_B IH_I P_I IY_I T_I S_E
REPEL	R_B IH_I P_I EH_I L_E
REPELLENT	R_B IH_I P_I EH_I L_I IH_I N_I T_E
REPENT	R_B IH_I P_I EH_I N_I T_E
REPENTANCE	R_B IH_I P_I EH_I N_I T_I IH_I N_I S_E
REPENTED	R_B IH_I P_I EH_I N_I T_I IH_I D_E
REPERCU-SSIONS-	R_B IY_I P_I ER_I K_I AH_E
REPERCUSSION	R_B IY_I P_I ER_I K_I AH_I SH_I IH_I N_E
REPERCUSSIONS	R_B IY_I P_I ER_I K_I AH_I SH_I IH_I N_I Z_E
REPERTOIRE	R_B EH_I P_I ER_I T_I W_I AA_I R_E
REPERTORY	R_B EH_I P_I ER_I T_I OW_I R_I IY_E
REPETITION	R_B EH_I P_I AX_I T_I IH_I SH_I IH_I N_E
REPETITIONS	R_B EH_I P_I AX_I T_I IH_I SH_I IH_I N_I Z_E
REPETITIOUS	R_B EH_I P_I AX_I T_I IH_I SH_I IH_I S_E
REPETITIVE	R_B IH_I P_I EH_I T_I IH_I T_I IH_I V_E
REPETITIVELY	R_B IH_I P_I EH_I T_I IH_I T_I IH_I V_I L_I IY_E
REPHRASE	R_B IY_I F_I R_I EY_I Z_E
REPLACE	R_B IH_I P_I L_I EY_I S_E #2
REPLACED	R_B IH_I P_I L_I EY_I S_I T_E
REPLACEMENT	R_B IH_I P_I L_I EY_I S_I M_I IH_I N_I T_E
REPLACES	R_B IH_I P_I L_I EY_I S_I IH_I Z_E
REPLACING	R_B IH_I P_I L_I EY_I S_I IH_I NG_E
REPLANT	R_B IY_I P_I L_I AE_I N_I T_E
REPLANTED	R_B IY_I P_I L_I AE_I N_I T_I IH_I D_E
REPLAY	R_B IY_I P_I L_I EY_E
REPLAYED	R_B IY_I P_I L_I EY_I D_E
REPLAYS	R_B IY_I P_I L_I EY_I Z_E
REPLE-NISHING-	R_B IH_I P_I L_I EH_E
REPLENISH	R_B IH_I P_I L_I EH_I N_I IH_I SH_E
REPLENISHED	R_B IH_I P_I L_I EH_I N_I IH_I SH_I T_E #2
REPLENISHING	R_B IH_I P_I L_I EH_I N_I IH_I SH_I IH_I NG_E
REPLETE	R_B IH_I P_I L_I IY_I T_E
REPLY	R_B IH_I P_I L_I AY_E
REPO-RT-	R_B IH_I P_I OW_E
REPO-SSESS-	R_B IY_I P_I AX_E
REPOR-TS-	R_B IH_I P_I OW_I R_E
REPORT	R_B IH_I P_I OW_I R_I T_E #2
REPORTED	R_B IH_I P_I OW_I R_I T_I IH_I D_E
REPORTER	R_B IH_I P_I OW_I R_I T_I ER_E
REPORTERS	R_B IH_I P_I OW_I R_I T_I ER_I Z_E
REPORTING	R_B IH_I P_I OW_I R_I T_I IH_I NG_E
REPORTINGS	R_B IH_I P_I OW_I R_I T_I IH_I NG_I Z_E
REPORTS	R_B IH_I P_I OW_I R_I T_I S_E
REPOSSESS	R_B IY_I P_I AX_I Z_I EH_I S_E
REPOSSESSED	R_B IY_I P_I AX_I Z_I EH_I S_I T_E
REPOSSESSION	R_B IY_I P_I AX_I Z_I EH_I SH_I IH_I N_E
REPOSSESSIONS	R_B IY_I P_I AX_I Z_I EH_I SH_I IH_I N_I Z_E
REPRESENT	R_B EH_I P_I R_I IH_I Z_I EH_I N_I T_E #1
REPRESENT-ED-	R_B EH_I P_I R_I IH_I Z_I EH_I N_I T_E #2
REPRESENTATION	R_B EH_I P_I R_I IH_I Z_I EH_I N_I T_I EY_I SH_I IH_I N_E
REPRESENTATIVE	R_B EH_I P_I R_I IH_I Z_I EH_I N_I T_I IH_I T_I IH_I V_E
REPRESENTATIVES	R_B EH_I P_I R_I IH_I Z_I EH_I N_I T_I IH_I T_I IH_I V_I Z_E
REPRESENTED	R_B EH_I P_I R_I IH_I Z_I EH_I N_I T_I IH_I D_E
REPRESENTING	R_B EH_I P_I R_I IH_I Z_I EH_I N_I T_I IH_I NG_E
REPRESENTS	R_B EH_I P_I R_I IH_I Z_I EH_I N_I T_I S_E
REPRESSING	R_B IH_I P_I R_I EH_I S_I IH_I NG_E
REPRESSION	R_B IH_I P_I R_I EH_I SH_I IH_I N_E
REPRIEVE	R_B IH_I P_I R_I IY_I V_E
REPRIMAND	R_B EH_I P_I R_I IH_I M_I AE_I N_I D_E
REPRIMANDED	R_B EH_I P_I R_I IH_I M_I AE_I N_I D_I IH_I D_E
REPRINT	R_B IY_I P_I R_I IH_I N_I T_E
REPRINTING	R_B IY_I P_I R_I IH_I N_I T_I IH_I NG_E
REPRINTS	R_B IY_I P_I R_I IH_I N_I T_I S_E #2
REPROCESS	R_B IY_I P_I R_I AA_I S_I EH_I S_E
REPRODUCE	R_B IY_I P_I R_I AX_I D_I UW_I S_E
REPRODUCTION	R_B IY_I P_I R_I AX_I D_I AH_I K_I SH_I IH_I N_E
REPRODUCTIONS	R_B IY_I P_I R_I AX_I D_I AH_I K_I SH_I IH_I N_I Z_E
REPS	R_B EH_I P_I S_E
REPU-BLIC-	R_B IH_I P_I AH_E
REPUBLIC	R_B IH_I P_I AH_I B_I L_I IH_I K_E #1
REPUBLIC'S	R_B IH_I P_I AH_I B_I L_I IH_I K_I S_E #1
REPUBLIC-AN-	R_B IH_I P_I AH_I B_I L_I IH_I K_E #2
REPUBLICAN	R_B IH_I P_I AH_I B_I L_I IH_I K_I AX_I N_E
REPUBLICANS	R_B IH_I P_I AH_I B_I L_I IH_I K_I AX_I N_I Z_E
REPUBLICS	R_B IH_I P_I AH_I B_I L_I IH_I K_I S_E #2
REPULSED	R_B IH_I P_I AH_I L_I S_I T_E
REPULSIVE	R_B IH_I P_I AH_I L_I S_I IH_I V_E
REPUTABLE	R_B EH_I P_I Y_I AX_I T_I AX_I B_I AX_I L_E
REPUTATION	R_B EH_I P_I Y_I AX_I T_I EY_I SH_I IH_I N_E
REPUTATIONAL	R_B EH_I P_I Y_I AX_I T_I EY_I SH_I IH_I N_I AX_I L_E
REPUTATIONS	R_B EH_I P_I Y_I AX_I T_I EY_I SH_I IH_I N_I Z_E
REQ-UEST-	R_B IH_I K_E #3
REQ-UIRE-	R_B IH_I K_E #4
REQ-UIRED-	R_B IH_I K_E #5
REQUEST	R_B IH_I K_I W_I EH_I S_I T_E
REQUESTED	R_B IH_I K_I W_I EH_I S_I T_I IH_I D_E
REQUESTING	R_B IH_I K_I W_I EH_I S_I T_I IH_I NG_E
REQUESTS	R_B IH_I K_I W_I EH_I S_I T_I S_E
REQUI-REMENT-	R_B IH_I K_I W_I AY_E #1
REQUI-REMENTS-	R_B IH_I K_I W_I AY_E #2
REQUIRE	R_B IH_I K_I W_I AY_I R_E
REQUIRED	R_B IH_I K_I W_I AY_I R_I D_E
REQUIREMENT	R_B IH_I K_I W_I AY_I R_I M_I IH_I N_I T_E
REQUIREMENTS	R_B IH_I K_I W_I AY_I R_I M_I IH_I N_I T_I S_E
REQUIRES	R_B IH_I K_I W_I AY_I R_I Z_E
REQUIRING	R_B IH_I K_I W_I AY_I R_I IH_I NG_E
REQUISITES	R_B EH_I K_I W_I IH_I Z_I IH_I T_I S_E
REREAD	R_B IY_I R_I EH_I D_E
REREADING	R_B IY_I R_I IY_I D_I IH_I NG_E
REREGISTER	R_B IH_I R_I EH_I JH_I IH_I S_I T_I ER_E
REREGULATE	R_B IY_I R_I EH_I G_I Y_I AX_I L_I EY_I T_E
REROOF	R_B IY_I R_I UH_I F_E
REROOFED	R_B IY_I R_I UH_I F_I D_E
REROOFING	R_B IY_I R_I UH_I F_I IH_I NG_E
RERUN	R_B IY_I R_I AH_I N_E
RERUNNING	R_B IY_I R_I AH_I N_I IH_I NG_E
RERUNS	R_B IY_I R_I AH_I N_I Z_E
RES-PONDED-	R_B IH_I S_E #4
RES-PONDING-	R_B IH_E #61
RES-PONSIBILITY-	R_B IH_I S_E #5
RES-T-	R_B EH_I S_E #1
RES-TORATION-	R_B EH_I S_E #2
RESALE	R_B IY_I S_I EY_I L_E
RESCHEDULE	R_B IY_I S_I K_I EH_I JH_I AX_I L_E
RESCUE	R_B EH_I S_I K_I Y_I UW_E
RESCUED	R_B EH_I S_I K_I Y_I UW_I D_E
RESCUERS	R_B EH_I S_I K_I Y_I UW_I ER_I Z_E
RESCUES	R_B EH_I S_I K_I Y_I UW_I Z_E
RESCUING	R_B EH_I S_I K_I Y_I UW_I IH_I NG_E
RESEAR-CH-	R_B IH_I S_I ER_E
RESEARCH	R_B IH_I S_I ER_I CH_E
RESEARCHED	R_B IH_I S_I ER_I CH_I T_E
RESEARCHER	R_B IH_I S_I ER_I CH_I ER_E
RESEARCHER'S	R_B IH_I S_I ER_I CH_I ER_I S_E
RESEARCHERS	R_B IH_I S_I ER_I CH_I ER_I Z_E
RESEARCHING	R_B IH_I S_I ER_I CH_I IH_I NG_E
RESEED	R_B IY_I S_I IY_I D_E
RESELL	R_B IY_I S_I EH_I L_E
RESELLING	R_B IY_I S_I EH_I L_I IH_I NG_E
RESEMBLE	R_B IH_I Z_I EH_I M_I B_I AX_I L_E
RESEMBLED	R_B IH_I Z_I EH_I M_I B_I AX_I L_I D_E
RESEMBLES	R_B IH_I Z_I EH_I M_I B_I AX_I L_I Z_E
RESEMBLING	R_B IH_I Z_I EH_I M_I B_I AX_I L_I IH_I NG_E
RESENT	R_B IH_I Z_I EH_I N_I T_E
RESENTED	R_B IH_I Z_I EH_I N_I T_I IH_I D_E
RESENTENCED	R_B IY_I S_I EH_I N_I T_I IH_I N_I S_I T_E
RESENTFUL	R_B IH_I Z_I EH_I N_I T_I F_I AX_I L_E
RESENTMENT	R_B IH_I Z_I EH_I N_I T_I M_I IH_I N_I T_E
RESER-VATIONS-	R_B EH_I Z_I ER_E
RESERVATION	R_B EH_I Z_I ER_I V_I EY_I SH_I IH_I N_E
RESERVATIONS	R_B EH_I Z_I ER_I V_I EY_I SH_I IH_I N_I Z_E #2
RESERVE	R_B IH_I Z_I ER_I V_E
RESERVED	R_B IH_I Z_I ER_I V_I D_E
RESERVES	R_B IH_I Z_I ER_I V_I Z_E
RESERVIST	R_B IH_I Z_I ER_I V_I IH_I S_I T_E
RESERVISTS	R_B IH_I Z_I ER_I V_I IH_I S_I T_I S_E
RESERVOIR	R_B EH_I Z_I AX_I V_I W_I AA_I R_E #2
RESERVOIRS	R_B EH_I Z_I AX_I V_I W_I AA_I R_I Z_E
RESET	R_B IY_I S_I EH_I T_E
RESHINGLED	R_B IY_I SH_I IH_I NG_I G_I AX_I L_I D_E
RESHOT	R_B IY_I SH_I AA_I T_E
RESIDE	R_B IH_I Z_I AY_I D_E
RESIDENCE	R_B EH_I Z_I IH_I D_I IH_I N_I S_E
RESIDENCES	R_B EH_I Z_I IH_I D_I IH_I N_I S_I IH_I Z_E
RESIDENCY	R_B EH_I Z_I IH_I D_I IH_I N_I S_I IY_E
RESIDENT	R_B EH_I Z_I IH_I D_I IH_I N_I T_E
RESIDENTIAL	R_B EH_I Z_I IH_I D_I EH_I N_I SH_I AX_I L_E
RESIDENTS	R_B EH_I Z_I IH_I D_I IH_I N_I T_I S_E
RESIDUAL	R_B IH_I Z_I IH_I JH_I UW_I AX_I L_E
RESIDUE	R_B EH_I Z_I IH_I D_I UW_E
RESIGN	R_B IH_I Z_I AY_I N_E
RESIGNED	R_B IH_I Z_I AY_I N_I D_E
RESILIENT	R_B IH_I Z_I IH_I L_I IY_I IH_I N_I T_E
RESIN	R_B EH_I Z_I IH_I N_E
RESIST	R_B IH_I Z_I IH_I S_I T_E
RESISTANCE	R_B IH_I Z_I IH_I S_I T_I IH_I N_I S_E
RESISTANT	R_B IH_I Z_I IH_I S_I T_I IH_I N_I T_E
RESISTED	R_B IH_I Z_I IH_I S_I T_I IH_I D_E
RESISTING	R_B IH_I Z_I IH_I S_I T_I IH_I NG_E
RESO-LUTION-	R_B EH_I Z_I AX_E
RESOD	R_B IY_I S_I AA_I D_E
RESOLUTION	R_B EH_I Z_I AX_I L_I UW_I SH_I IH_I N_E
RESOLUTIONS	R_B EH_I Z_I AX_I L_I UW_I SH_I IH_I N_I Z_E
RESOLVE	R_B IH_I Z_I AO_I L_I V_E
RESOLVED	R_B IH_I Z_I AO_I L_I V_I D_E
RESOLVES	R_B IH_I Z_I AO_I L_I V_I Z_E
RESOLVING	R_B IH_I Z_I AO_I L_I V_I IH_I NG_E
RESONANCE	R_B EH_I Z_I IH_I N_I IH_I N_I S_E
RESONATES	R_B EH_I Z_I IH_I N_I EY_I T_I S_E
RESORT	R_B IH_I Z_I OW_I R_I T_E
RESORTED	R_B IH_I Z_I OW_I R_I T_I IH_I D_E
RESORTS	R_B IH_I Z_I OW_I R_I T_I S_E
